SO2,CO,NO2,SO4
0.004394899,0.004569739,0.004732362,0.004876927
0.03515958,0.036558059,0.037858767,0.039014985
0.118665582,0.123384133,0.12777255,0.13167316
0.28128736,0.292467895,0.302865395,0.312106141
0.549402734,0.571229694,0.591526125,0.609562163
0.949392624,0.987089447,1.022139217,1.053280854
1.507640068,1.567465273,1.623083046,1.672491072
2.250528526,2.33977162,2.422727851,2.496408736
3.204439471,3.331416883,3.449433435,3.554234673
4.395749266,4.569800515,4.731546595,4.87515245
5.850825324,6.082309633,6.297398283,6.488326216
7.596021569,7.896315112,8.175300507,8.422898556
9.657673176,10.03916719,10.39354296,10.70798834
12.06209063,12.53819058,12.98038939,13.37268859
14.83555304,15.42067903,15.96407372,16.44606433
18.00430083,18.71388951,19.37279591,19.95715051
21.59452766,22.44503576,23.23471752,23.93494983
25.6323717,26.64128144,27.57795709,28.40843069
30.14390624,31.32973283,32.43058518,33.40652501
35.15512956,36.5374309,37.82061923,38.9581262
40.69195418,42.29134305,43.77601808,45.09208695
46.78019545,48.61835428,50.32467628,51.83721715
53.44555939,55.54525791,57.49441812,59.22228173
60.71363001,63.0987458,65.31299134,67.2759984
68.60985585,71.30539807,73.80806062,76.02703547
77.15953593,80.19167239,83.00720074,85.50400949
86.38780507,89.78389273,92.93788941,95.73548288
96.31961854,100.1082376,103.6274999,106.7499614
106.9797361,111.1907279,115.1032932,118.5758918
118.3927054,123.057214,127.3924097,131.2416584
130.5828447,135.7333628,140.5218613,144.7755811
143.5742252,149.2446437,154.5185219,159.2059116
157.3906523,163.6163144,169.4091183,174.5608302
172.0556469,178.8734061,185.2202207,190.8684423
187.5924255,195.0407079,201.9782325,208.1567746
204.0238798,212.1427514,219.7093795,226.4537704
221.3725561,230.2037935,238.4396991,245.7872859
239.6606339,249.2477997,258.1950283,266.1850839
258.9099035,269.2984265,279.0009916,287.6748297
279.1417436,290.3790026,300.8829882,310.2840839
300.3770981,312.5125106,323.8661787,334.0402966
322.6364523,335.7215667,347.9754707,358.9707998
345.9398085,360.028401,373.2355039,385.1027996
370.3066613,385.4548361,399.6706347,412.4633677
395.7559719,412.0222657,427.3049199,441.0794315
422.3061422,439.7516323,456.1620988,470.9777644
449.9749884,468.6634039,486.2655759,502.1849739
478.779714,498.7775499,517.6384012,534.7274895
508.7368822,530.1135171,550.3032502,568.6315495
539.8623877,562.6902037,584.2824031,603.9231861
572.1714286,596.5259332,619.5977223,640.6282093
605.6784773,631.6384276,656.2706292,678.7721905
640.397251,668.0447793,694.3220799,718.3804428
676.3406824,705.7614223,733.7725389,759.4780017
713.5208891,744.8041031,774.6419529,802.0896027
751.9491434,785.1878497,816.9497218,846.2396582
791.6358417,826.9269409,860.7146696,891.9522322
832.5904729,870.0348741,905.9550127,939.2510127
874.8215881,914.5243321,952.6883282,988.1592832
918.3367682,960.4071497,1000.931519,1038.699891
963.1425931,1007.694279,1050.700779,1090.895214
1009.24461,1056.395754,1102.011556,1144.767125
1056.647301,1106.520655,1154.878511,1200.336953
1105.354053,1158.07707,1209.315483,1257.625445
1155.367125,1211.072061,1265.335442,1316.652721
1206.687617,1265.51162,1322.950447,1377.438227
1259.315442,1321.400636,1382.171601,1440.000692
1313.249291,1378.742853,1443.009008,1504.358071
1368.486605,1437.540828,1505.471717,1570.527493
1425.023546,1497.795895,1569.56768,1638.525206
1482.85497,1559.508123,1635.303693,1708.366516
1541.974394,1622.676273,1702.685351,1780.065724
1602.373974,1687.297758,1771.716986,1853.636058
1664.044478,1753.368607,1842.401616,1929.089609
1726.975259,1820.883415,1914.740886,2006.437251
1791.154234,1889.835309,1988.73501,2085.688576
1856.567861,1960.215909,2064.382711,2166.851804
1923.201121,2032.015281,2141.681159,2249.93371
1991.037495,2105.221906,2220.625911,2334.939536
2060.058952,2179.822636,2301.210851,2421.872903
2130.245933,2255.802661,2383.428121,2510.735721
2201.577337,2333.14547,2467.268064,2601.528093
2274.030517,2411.832821,2552.719155,2694.248222
2347.581265,2491.844704,2639.767943,2788.89231
2422.203817,2573.159313,2728.398982,2885.454458
2497.870845,2655.753017,2818.594775,2983.926561
2574.553462,2739.600334,2910.335707,3084.298201
2652.22123,2824.673908,3003.599986,3186.556544
2730.842164,2910.944491,3098.363586,3290.68623
2810.382751,2998.380924,3194.600187,3396.66926
2890.807965,3086.950125,3292.281125,3504.484891
2972.081289,3176.617079,3391.375335,3614.109525
3054.164739,3267.344837,3491.849307,3725.516597
3137.018899,3359.094514,3593.667039,3838.676473
3220.602955,3451.825294,3696.79,3953.556336
3304.874734,3545.494444,3801.177093,4070.12009
3389.790754,3640.057326,3906.784623,4188.328259
3475.30627,3735.467427,4013.566283,4308.137888
3561.375338,3831.676384,4121.473127,4429.502459
3647.950871,3928.634022,4230.453573,4552.371807
3734.984712,4026.288401,4340.453393,4676.692043
3822.427708,4124.585867,4451.415734,4802.405496
3910.229786,4223.471109,4563.281128,4929.450651
3998.340046,4322.887236,4675.987531,5057.762114
4086.706847,4422.775845,4789.47036,5187.270586
4175.277909,4523.077117,4903.662553,5317.902843
4264.000414,4623.729907,5018.494634,5449.581753
4352.821116,4724.671849,5133.894797,5582.226296
4441.686455,4825.839475,5249.789003,5715.751608
4530.542675,4927.168331,5366.101092,5850.069056
4619.335952,5028.593117,5482.752908,5985.086326
4708.012512,5130.047821,5599.664446,6120.707542
4796.518774,5231.465873,5716.754001,6256.83341
4884.801473,5332.7803,5833.938352,6393.361388
4972.807804,5433.923888,5951.13294,6530.185884
5060.485556,5534.829354,6068.252076,6667.198482
5147.783249,5635.429522,6185.209151,6804.288188
5234.650276,5735.657501,6301.916866,6941.341714
5321.037039,5835.446865,6418.287469,7078.24377
5406.895082,5934.731846,6534.232997,7214.877391
5492.177229,6033.44751,6649.665537,7351.124278
5576.837709,6131.529948,6764.497479,7486.865155
5660.832283,6228.916457,6878.641778,7621.980139
5744.118368,6325.545722,6992.012223,7756.349125
5826.655145,6421.357989,7104.523693,7889.852171
5908.403672,6516.295234,7216.092422,8022.369892
5989.326982,6610.301334,7326.636253,8153.783849
6069.390181,6703.322214,7436.074882,8283.976937
6148.560528,6795.305998,7544.330103,8412.833765
6226.807517,6886.203147,7651.326038,8540.241029
6304.102943,6975.966588,7756.989349,8666.087867
6380.420963,7064.551827,7861.249453,8790.266203
6455.738148,7151.917058,7964.038705,8912.671077
6530.033522,7238.023258,8065.292584,9033.200956
